Date,Business Unit,Housing,Healthcare,Education,Manufacturing/Production,Hospitality,Consulting
7/1/2021,AKOWONJO,47636.45,2186.926667,1497.638333,4061.433154,1925.536742,855.7966667
7/1/2021,IKEJA,28183.87,2165.256667,3088.948333,4021.187404,3971.503135,1765.116667
7/1/2021,IKORODU,47993.62,2278.426667,1256.718333,4231.360452,1615.786443,718.1266667
7/1/2021,OSHODI,49380.93,2307.806667,2054.278333,4285.929972,2641.21666,1173.876667
7/1/2021,SHOMOLU,53627.3,2220.496667,1864.908333,4123.776016,2397.744793,1065.666667
8/1/2021,ABULE EGBA,32516.46,2372.328333,1404.193333,4405.743333,1805.391,802.3916667
8/1/2021,AKOWONJO,55417.37,2357.228333,1824.153333,4377.708833,2345.3415,1042.371667
8/1/2021,IKEJA,30170.62,2316.218333,3717.053333,4301.554833,4779.072,2124.031667
8/1/2021,IKORODU,48915.62,2417.568333,1489.603333,4489.768833,1915.209,851.2016667
8/1/2021,OSHODI,59360.99,2483.808333,2308.563333,4612.794333,2968.155,1319.181667
8/1/2021,SHOMOLU,58441.34,2436.698333,2388.133333,4525.297833,3070.4535,1364.641667
9/1/2021,ABULE EGBA,31056.22,2327.635,1421.86,4322.755599,1828.109643,812.49
9/1/2021,AKOWONJO,51913.85,2318.475,1718.66,4305.74196,2209.707161,982.09
9/1/2021,IKEJA,28814.84,2254.105,3563.03,4186.196987,4581.031706,2036.01
9/1/2021,IKORODU,36017.89,2322.325,1339.13,4312.882888,1721.736408,765.22
9/1/2021,OSHODI,54986.2,2371.375,2179.41,4403.988147,2802.102685,1245.38
9/1/2021,SHOMOLU,54977.79,2306.255,2278.8,4283.054658,2929.882238,1302.17
10/1/2021,ABULE EGBA,32630.14,2482.961667,1368.523333,4611.206167,1759.527,782.0083333
10/1/2021,AKOWONJO,54502.19,2508.521667,1848.233333,4658.688667,2376.3015,1056.138333
10/1/2021,IKEJA,27560.04,2401.391667,3283.593333,4459.736667,4221.7605,1876.338333
10/1/2021,IKORODU,52301.58,2596.781667,1428.643333,4822.599167,1836.828,816.3683333
10/1/2021,OSHODI,55219.69,2543.691667,2235.073333,4723.994167,2873.664,1277.188333
10/1/2021,SHOMOLU,57366.4,2474.161667,2403.013333,4594.878167,3089.5875,1373.148333
11/1/2021,ABULE EGBA,33662.51,2479.396667,1355.05,4604.60325,1742.2065,774.3133333
11/1/2021,AKOWONJO,52421.77,2475.016667,1791.4,4596.45225,2303.226,1023.653333
11/1/2021,IKEJA,27553.64,2390.066667,3288.84,4438.70375,4228.5105,1879.333333
11/1/2021,IKORODU,52020.99,2548.036667,1406.49,4732.07475,1808.3385,803.7033333
11/1/2021,OSHODI,55574.83,2523.376667,2327.63,4686.26925,2992.6665,1330.073333
11/1/2021,SHOMOLU,59675.85,2494.216667,2483.38,4632.12425,3192.921,1419.073333
12/1/2021,ABULE EGBA,37223.31,2578.348333,1449.566667,4788.357167,1863.7245,828.3233333
12/1/2021,AKOWONJO,60061.47,2566.168333,1947.666667,4765.743667,2504.1375,1112.953333
12/1/2021,IKEJA,34000.38,2468.428333,3908.516667,4584.231167,5025.231,2233.433333
12/1/2021,IKORODU,60836.3,2696.618333,1514.456667,5007.998667,1947.1635,865.4033333
12/1/2021,OSHODI,61335.34,2629.258333,2439.646667,4882.912667,3136.6935,1394.083333
12/1/2021,SHOMOLU,63312.86,2588.528333,2503.556667,4807.272167,3218.8635,1430.603333
1/1/2022,ABULE EGBA,36127.76,2804.66,1424.923333,5208.644883,1832.041429,814.24
1/1/2022,AKOWONJO,56762.27,2801.99,1870.063333,5203.701496,2404.363637,1068.61
1/1/2022,IKEJA,33091.28,2740.09,3961.713333,5088.745402,5093.627236,2263.83
1/1/2022,IKORODU,58147.53,2917.64,1480.323333,5418.47447,1903.275313,845.9
1/1/2022,OSHODI,53936.92,2863.18,2344.273333,5317.336908,3014.06812,1339.59
1/1/2022,SHOMOLU,54525.03,2826,2232.153333,5248.284892,2869.905148,1275.51
2/1/2022,ABULE EGBA,31449.61,2465.968333,1313.553333,4579.662497,1688.857058,750.5983333
2/1/2022,AKOWONJO,50027.96,2483.678333,1750.673333,4612.536528,2250.866387,1000.388333
2/1/2022,IKEJA,30259.98,2455.978333,3849.393333,4561.108512,4949.224769,2199.658333
2/1/2022,IKORODU,42169.39,2597.498333,1312.723333,4823.924048,1687.789924,750.1283333
2/1/2022,OSHODI,44083.8,2585.648333,2063.393333,4801.921717,2652.935623,1179.078333
2/1/2022,SHOMOLU,45874.47,2551.258333,1988.523333,4738.042745,2556.676825,1136.298333
3/1/2022,ABULE EGBA,27656.84,2391.278333,1159.205,4440.954703,1490.402714,662.4033333
